DIFF_X	DIFF_Y	ANGLE	CAM_ID	MARKER_VALUE	X	Y	Z	LASTSEEN	CUR_POS	CUR_SPD	DISTANCE_FROM_HOME	DISTANCE_ARMEXTENDED	ANGLE_540	ANGLE_360
-9.17	18.94	1	0	100	-137	419	5118	1730115263.494191	1110763	-498	2610	0	0	178
-9.84	18.91	0	0	100	-154	408	4991	1730115263.595995	1102292	-496	2590	0	0	178
-10.49	18.8	-1	0	100	-174	403	4957	1730115263.674943	1095269	-503	2574	0	0	178
23.23	19.35	-1	0	101	902	431	5141	1730115263.790808	1086280	-501	2553	0	0	178
-11.17	18.8	-1	0	100	-196	406	4992	1730115263.796419	1085291	-500	2550	0	0	178
22.54	19.44	-1	0	101	873	429	5099	1730115263.888495	1078188	-507	2534	0	0	178
-11.88	18.84	1	0	100	-227	424	5209	1730115263.893353	1077199	-502	2531	0	0	178
-12.49	18.94	1	0	100	-245	422	5169	1730115263.973484	1071194	-496	2517	0	0	178
-13.15	18.89	-1	0	100	-264	416	5109	1730115264.069677	1063115	-502	2498	0	0	178
21.18	19.49	-3	0	101	870	450	5340	1730115264.075111	1062116	-499	2496	0	0	178
20.53	19.42	-2	0	101	854	451	5371	1730115264.177362	1054084	-501	2477	0	0	178
19.86	19.35	-1	0	101	818	442	5283	1730115264.273158	1046006	-501	2458	0	0	178
19.18	19.4	-3	0	101	809	450	5368	1730115264.37123	1038053	-503	2439	0	0	178
-15.81	18.8	-1	0	100	-345	411	5069	1730115264.472447	1029591	-503	2420	0	0	178
18.5	19.4	-1	0	101	773	442	5271	1730115264.47661	1028602	-492	2417	0	0	178
-16.48	18.75	1	0	100	-362	406	5014	1730115264.57185	1021521	-512	2401	0	0	178
17.83	19.28	-2	0	101	776	455	5452	1730115264.573563	1020500	-507	2398	0	0	178
17.1	19.31	-3	0	101	762	461	5527	1730115264.674863	1012908	-495	2380	0	0	178
16.47	19.26	2	0	101	733	455	5466	1730115264.788751	1004878	-492	2361	0	0	178
-18.44	18.8	-1	0	100	-427	411	5067	1730115264.874353	996012	-494	2341	0	0	178
15.14	19.33	1	0	101	687	456	5462	1730115264.973464	988030	-502	2322	0	0	178
14.44	19.33	1	0	101	668	459	5499	1730115265.075642	978932	-503	2300	0	0	178
13.71	19.31	-1	0	101	641	457	5480	1730115265.178501	970804	-496	2281	0	0	178
47.58	19.07	-2	0	102	1364	361	4250	1730115265.275096	962833	-493	2263	0	0	178
13.05	19.38	3	0	101	610	452	5407	1730115265.276886	961836	-498	2260	0	0	178
46.93	19.19	-3	0	102	1370	368	4319	1730115265.372067	954893	-488	2244	0	0	178
12.45	19.44	-1	0	101	606	466	5551	1730115265.372677	953893	-501	2242	0	0	178
46.28	19.14	6	0	102	1370	372	4374	1730115265.472631	946453	-497	2224	0	0	178
11.8	19.44	-1	0	101	587	469	5587	1730115265.47887	945440	-512	2222	0	0	178
11.11	19.4	-1	0	101	557	463	5526	1730115265.575043	937424	-504	2203	0	0	178
44.78	19.0	-2	0	102	1327	368	4362	1730115265.670956	929836	-509	2185	0	0	178
10.4	19.35	1	0	101	532	460	5512	1730115265.676748	928836	-498	2183	0	0	178
9.71	19.54	-1	0	101	512	468	5559	1730115265.780481	920799	-491	2164	0	0	178
43.4	19.35	5	0	102	1331	383	4495	1730115265.862086	913821	-504	2147	0	0	178
9.09	19.68	-1	0	101	480	461	5444	1730115265.866925	912837	-488	2145	0	0	178
8.49	19.68	0	0	101	462	463	5467	1730115265.971441	904854	-493	2126	0	0	178
37.84	41.44	8	0	10	2239	1359	8480	1730115266.080454	895803	-505	2105	0	0	178
7.1	19.58	0	0	101	420	467	5542	1730115266.166843	888699	-497	2088	0	0	178
6.65	19.72	1	0	101	404	469	5535	1730115266.281246	878678	-498	2065	0	0	178
40.39	19.51	6	0	102	1313	403	4719	1730115266.383435	870689	-495	2046	0	0	178
6.0	19.88	-1	0	101	381	473	5536	1730115266.385525	869687	-504	2044	0	0	178
-29.14	19.31	2	0	100	-748	415	5028	1730115266.47251	863214	-499	2029	0	0	178
4.69	19.68	0	0	101	332	463	5477	1730115266.562064	855183	-503	2010	0	0	178
38.29	19.19	-2	0	102	1264	400	4756	1730115266.656037	847654	-505	1992	0	0	178
3.97	19.68	0	0	101	312	470	5557	1730115266.662156	846665	-490	1990	0	0	178
3.29	19.79	-1	0	101	288	472	5555	1730115266.794376	836609	-495	1966	0	0	178
2.66	19.91	0	0	101	270	481	5637	1730115266.869076	829690	-501	1950	0	0	178
-32.47	19.38	1	0	100	-831	408	4931	1730115266.98081	820630	-500	1928	0	0	178
-33.18	19.31	2	0	100	-834	398	4830	1730115267.072123	812564	-504	1910	0	0	178
-33.84	19.31	2	0	100	-868	406	4920	1730115267.17401	804571	-492	1891	0	0	178
-0.04	19.77	0	0	101	171	472	5556	1730115267.265332	796583	-497	1872	0	0	178
33.41	19.4	-1	0	102	1152	411	4867	1730115267.362981	788508	-498	1853	0	0	178
32.73	19.35	-2	0	102	1122	406	4824	1730115267.466442	779970	-504	1833	0	0	178
-36.58	19.47	1	0	100	-927	400	4819	1730115267.561519	771911	-502	1814	0	0	178
-2.08	19.79	-1	0	101	101	479	5636	1730115267.571278	770921	-491	1812	0	0	178
31.33	19.31	0	0	102	1077	404	4805	1730115267.666647	763397	-501	1794	0	0	178
30.63	19.31	0	0	102	1067	407	4850	1730115267.767068	755449	-501	1775	0	0	178
-4.05	19.86	0	0	101	31	472	5551	1730115267.870144	746390	-505	1754	0	0	178
-4.78	19.91	-1	0	101	5	473	5545	1730115267.9653	738351	-502	1735	0	0	178
-5.48	19.91	-1	0	101	-19	472	5532	1730115268.064531	730294	-497	1716	0	0	178
27.75	19.44	-2	0	102	1015	422	5010	1730115268.16404	721301	-503	1695	0	0	178
27.1	19.44	-2	0	102	974	413	4898	1730115268.26787	713351	-498	1676	0	0	178
